UID        PID  PPID  C STIME TTY          TIME CMD
root       812     1  0 Aug17 ?        00:00:00 /usr/bin/abrt-watch-log -F Backt
root       814     1  0 Aug17 ?        00:00:29 /usr/sbin/irqbalance --foregroun
root       826     1  0 Aug17 ?        00:00:06 /usr/lib/systemd/systemd-logind
libstor+   830     1  0 Aug17 ?        00:00:01 /usr/bin/lsmd -d
root       831     1  0 Aug17 ?        00:00:00 /usr/sbin/smartd -n -q never
root       833     1  0 Aug17 ?        00:00:08 /sbin/rngd -f
root       834     1  0 Aug17 ?        00:00:00 /usr/sbin/gssproxy -D
root       838     1  0 Aug17 ?        00:00:00 /usr/bin/VGAuthService -s
root       839     1  0 Aug17 ?        00:06:23 /usr/bin/vmtoolsd
root       841     1  0 Aug17 ?        00:00:00 /usr/sbin/ModemManager
avahi      846   803  0 Aug17 ?        00:00:00 avahi-daemon: chroot helper
chrony     848     1  0 Aug17 ?        00:00:01 /usr/sbin/chronyd
root       861     1  0 Aug17 ?        00:00:08 /bin/bash /usr/sbin/ksmtuned
root       863     2  0 Aug17 ?        00:00:02 [kworker/3:1H]
root       868     1  0 Aug17 ?        00:00:02 /usr/bin/python -Es /usr/sbin/fi
root       990     2  0 Aug17 ?        00:00:01 [kworker/1:1H]
root      1042     1  0 Aug17 ?        00:00:04 /usr/sbin/NetworkManager --no-da
mssql     1754     1  0 Aug17 ?        00:00:04 /opt/mssql/bin/sqlservr
root      1755     1  0 Aug17 ?        00:00:00 /usr/sbin/cupsd -f
root      1756     1  0 Aug17 ?        00:00:45 /usr/bin/python -Es /usr/sbin/tu
root      1759     1  0 Aug17 ?        00:00:00 /usr/sbin/sshd -D
root      1760     1  0 Aug17 ?        00:00:22 /usr/sbin/rsyslogd -n
root      1762     1  0 Aug17 ?        00:10:50 /usr/bin/dockerd
root      1768     1  0 Aug17 ?        00:00:00 /usr/sbin/libvirtd
root      1771     1  0 Aug17 ?        00:00:03 /usr/sbin/crond -n
root      1772     1  0 Aug17 ?        00:00:00 /usr/sbin/atd -f
root      2041  1762  0 Aug17 ?        00:12:54 docker-containerd --config /var/
